order,family,subfamily,genus,specificEpithet,scientificName,habitat,traitName,traitValue,traitAssignmentLevel,basisOfRecord,referenceNumber,referenceTitle1,referenceDOI1,referenceTitle2,referenceDOI2,referenceTitle3,referenceDOI3,referenceTitle4,referenceDOI4,referenceTitle5,referenceDOI5,referenceTitle6,referenceDOI6,referenceTitle7,referenceDOI7,referenceTitle8,referenceDOI8,referenceTitle9,referenceDOI9,referenceTitle10,referenceDOI10,referenceTitle11,referenceDOI11,referenceTitle12,referenceDOI12
Diptera,Acartophthalmidae,N/A,Acartophthalmus,nigrinus,Acartophthalmus nigrinus,Terrestrial,adultDiet,Saprophagous,Family,literatureData,2,"The fauna of the opomyzoid families Clusiidae, Acartophthalmidae, Anthomyzidae, Opomyzidae, Stenomicridae, Periscelididae, Asteiidae (Diptera) in the Gemer area (Central Slovakia)",10.2478/v10210-012-0011-5,"The fauna of the Acalyptrate families Micropezidae, Psilidae, Clusiidae, Acartophthalmidae, Anthomyzidae, Aulacigastridae, Periscelididae and Asteiidae (Diptera) in the Gemer area (Central Slovakia): supplement 1.",10.2478/cszma-2013-0014,,,,,,,,,,,,,,,,,,,,
Diptera,Agromyzidae,N/A,Agromyza,frontella,Agromyza frontella,Terrestrial,adultDiet,Phytophagous,Family,literatureData,6,"Manual of North American Agromyzidae (Diptera, Schizophora), with revision of the fauna of the “Delmarva” states",10.3897/zookeys.1051.64603,Cryptic Diversity Hidden within the Leafminer Genus Liriomyza (Diptera: Agromyzidae),10.3390/genes9110554,Oviposition preference and larval performance of Liriomyza helianthi (Diptera: Agromyzidae) on normal and novel host plants,10.1093/ee/27.4.926,"Seasonal incidence of the leaf miner Liriomyza cicerina Rond (Diptera: Agromyzidae) in chickpea fields and effects of climatic parameters, chickpea variety, and planting date on the leaf miner infestation rate.",10.1007/s41207-020-00198-4,"Adult movement of the native holly leafminer, Phytomyza ilicicola Loew (Diptera: Agromyzidae): Consequences for host choice within and between habitats",10.1007/BF00317265,Effects of flowering plants on parasitism of lettuce leafminers (Diptera: Agromyzidae),0.1016/j.biocontrol.2010.05.016,,,,,,,,,,,,
Diptera,Agromyzidae,N/A,Calycomyza,majuscula,Calycomyza majuscula,Terrestrial,adultDiet,Phytophagous,Genus,literatureData,1,"Seasonal activity, habitat preferences and larval mortality of the leaf-mining fly Calycomyza eupatorivora (Agromyzidae), a biological control agent established on Chromolaena odorata (Asteraceae) in South Africa",10.1080/09583157.2014.935293,,,,,,,,,,,,,,,,,,,,,,
Diptera,Agromyzidae,N/A,Cerodontha,capitata,Cerodontha capitata,Terrestrial,adultDiet,Phytophagous,Family,literatureData,6,"Manual of North American Agromyzidae (Diptera, Schizophora), with revision of the fauna of the “Delmarva” states",10.3897/zookeys.1051.64603,Cryptic Diversity Hidden within the Leafminer Genus Liriomyza (Diptera: Agromyzidae),10.3390/genes9110554,Oviposition preference and larval performance of Liriomyza helianthi (Diptera: Agromyzidae) on normal and novel host plants,10.1093/ee/27.4.926,"Seasonal incidence of the leaf miner Liriomyza cicerina Rond (Diptera: Agromyzidae) in chickpea fields and effects of climatic parameters, chickpea variety, and planting date on the leaf miner infestation rate.",10.1007/s41207-020-00198-4,"Adult movement of the native holly leafminer, Phytomyza ilicicola Loew (Diptera: Agromyzidae): Consequences for host choice within and between habitats",10.1007/BF00317265,Effects of flowering plants on parasitism of lettuce leafminers (Diptera: Agromyzidae),0.1016/j.biocontrol.2010.05.016,,,,,,,,,,,,
Diptera,Agromyzidae,N/A,Cerodontha,dorsalis,Cerodontha dorsalis,Terrestrial,adultDiet,Phytophagous,Family,literatureData,6,"Manual of North American Agromyzidae (Diptera, Schizophora), with revision of the fauna of the “Delmarva” states",10.3897/zookeys.1051.64603,Cryptic Diversity Hidden within the Leafminer Genus Liriomyza (Diptera: Agromyzidae),10.3390/genes9110554,Oviposition preference and larval performance of Liriomyza helianthi (Diptera: Agromyzidae) on normal and novel host plants,10.1093/ee/27.4.926,"Seasonal incidence of the leaf miner Liriomyza cicerina Rond (Diptera: Agromyzidae) in chickpea fields and effects of climatic parameters, chickpea variety, and planting date on the leaf miner infestation rate.",10.1007/s41207-020-00198-4,"Adult movement of the native holly leafminer, Phytomyza ilicicola Loew (Diptera: Agromyzidae): Consequences for host choice within and between habitats",10.1007/BF00317265,Effects of flowering plants on parasitism of lettuce leafminers (Diptera: Agromyzidae),0.1016/j.biocontrol.2010.05.016,,,,,,,,,,,,
Diptera,Agromyzidae,N/A,Cerodontha,fasciata,Cerodontha fasciata,Terrestrial,adultDiet,Phytophagous,Family,literatureData,6,"Manual of North American Agromyzidae (Diptera, Schizophora), with revision of the fauna of the “Delmarva” states",10.3897/zookeys.1051.64603,Cryptic Diversity Hidden within the Leafminer Genus Liriomyza (Diptera: Agromyzidae),10.3390/genes9110554,Oviposition preference and larval performance of Liriomyza helianthi (Diptera: Agromyzidae) on normal and novel host plants,10.1093/ee/27.4.926,"Seasonal incidence of the leaf miner Liriomyza cicerina Rond (Diptera: Agromyzidae) in chickpea fields and effects of climatic parameters, chickpea variety, and planting date on the leaf miner infestation rate.",10.1007/s41207-020-00198-4,"Adult movement of the native holly leafminer, Phytomyza ilicicola Loew (Diptera: Agromyzidae): Consequences for host choice within and between habitats",10.1007/BF00317265,Effects of flowering plants on parasitism of lettuce leafminers (Diptera: Agromyzidae),0.1016/j.biocontrol.2010.05.016,,,,,,,,,,,,
Diptera,Agromyzidae,N/A,Cerodontha,lindrothi,Cerodontha lindrothi,Terrestrial,adultDiet,Phytophagous,Family,literatureData,6,"Manual of North American Agromyzidae (Diptera, Schizophora), with revision of the fauna of the “Delmarva” states",10.3897/zookeys.1051.64603,Cryptic Diversity Hidden within the Leafminer Genus Liriomyza (Diptera: Agromyzidae),10.3390/genes9110554,Oviposition preference and larval performance of Liriomyza helianthi (Diptera: Agromyzidae) on normal and novel host plants,10.1093/ee/27.4.926,"Seasonal incidence of the leaf miner Liriomyza cicerina Rond (Diptera: Agromyzidae) in chickpea fields and effects of climatic parameters, chickpea variety, and planting date on the leaf miner infestation rate.",10.1007/s41207-020-00198-4,"Adult movement of the native holly leafminer, Phytomyza ilicicola Loew (Diptera: Agromyzidae): Consequences for host choice within and between habitats",10.1007/BF00317265,Effects of flowering plants on parasitism of lettuce leafminers (Diptera: Agromyzidae),0.1016/j.biocontrol.2010.05.016,,,,,,,,,,,,
Diptera,Agromyzidae,N/A,Cerodontha,muscina,Cerodontha muscina,Terrestrial,adultDiet,Phytophagous,Family,literatureData,6,"Manual of North American Agromyzidae (Diptera, Schizophora), with revision of the fauna of the “Delmarva” states",10.3897/zookeys.1051.64603,Cryptic Diversity Hidden within the Leafminer Genus Liriomyza (Diptera: Agromyzidae),10.3390/genes9110554,Oviposition preference and larval performance of Liriomyza helianthi (Diptera: Agromyzidae) on normal and novel host plants,10.1093/ee/27.4.926,"Seasonal incidence of the leaf miner Liriomyza cicerina Rond (Diptera: Agromyzidae) in chickpea fields and effects of climatic parameters, chickpea variety, and planting date on the leaf miner infestation rate.",10.1007/s41207-020-00198-4,"Adult movement of the native holly leafminer, Phytomyza ilicicola Loew (Diptera: Agromyzidae): Consequences for host choice within and between habitats",10.1007/BF00317265,Effects of flowering plants on parasitism of lettuce leafminers (Diptera: Agromyzidae),0.1016/j.biocontrol.2010.05.016,,,,,,,,,,,,
Diptera,Agromyzidae,N/A,Chromatomyia,erigerontophaga,Chromatomyia erigerontophaga,Terrestrial,adultDiet,Phytophagous,Genus,literatureData,1,"Critical factors required by the nematode Steinernema feltiae for the control of the leafminers Liriomyza huidobrensis, Liriomyza bryoniae and Chromatomyia syngenesiae",10.1111/j.1744-7348.1995.tb06677.x,,,,,,,,,,,,,,,,,,,,,,
Diptera,Agromyzidae,N/A,Chromatomyia,fuscula,Chromatomyia fuscula,Terrestrial,adultDiet,Phytophagous,Genus,literatureData,1,"Critical factors required by the nematode Steinernema feltiae for the control of the leafminers Liriomyza huidobrensis, Liriomyza bryoniae and Chromatomyia syngenesiae",10.1111/j.1744-7348.1995.tb06677.x,,,,,,,,,,,,,,,,,,,,,,
