id,order,family,subfamily,genus,specificEpithet,scientificName,habitat,traitName,traitValue,traitAssignmentLevelHabitat,traitAssignmentLevelAdultDiet,traitAssignmentLevelLarvalDiet,notes,basisOfRecord,referenceNumber,references
1,Diptera,Acartophthalmidae,,Acartophthalmus,nigrinus,Acartophthalmus nigrinus,Terrestrial,adultDiet,Unclear,Species,Family,Genus,Some Acartophthalmus species are necrophagous. Acartophthalmus nigrinus are found in woodland habitats on decaying fungi and carrion.,MaterialCitation,2,"The fauna of the opomyzoid families Clusiidae, Acartophthalmidae, Anthomyzidae, Opomyzidae, Stenomicridae, Periscelididae, Asteiidae (Diptera) in the Gemer area (Central Slovakia) (https://doi.org/10.2478/v10210-012-0011-5) | The fauna of the Acalyptrate families Micropezidae, Psilidae, Clusiidae, Acartophthalmidae, Anthomyzidae, Aulacigastridae, Periscelididae and Asteiidae (Diptera) in the Gemer area (Central Slovakia): supplement 1 (https://doi.org/10.2478/cszma-2013-0014)"
2,Diptera,Agromyzidae,,Agromyza,frontella,Agromyza frontella,Terrestrial,adultDiet,Leaf/Root/Stem Feeding,Species,Species,Species,Both adults and larvae of Agromyza frontella feed on alfalfa.,MaterialCitation,2,Plant Parasites of Europe (https://bladmineerders.nl/) | Biology of the Alfalfa Blotch Leafminer (https://doi.org/10.1093/aesa/71.3.295)
3,Diptera,Agromyzidae,,Calycomyza,majuscula,Calycomyza majuscula,Terrestrial,adultDiet,Leaf/Root/Stem Feeding,Genus,Family,Genus,Larvae are leaf mining,MaterialCitation,7,"Seasonal activity, habitat preferences and larval mortality of the leaf-mining fly Calycomyza eupatorivora (Agromyzidae), a biological control agent established on Chromolaena odorata (Asteraceae) in South Africa (https://doi.org/10.1080/09583157.2014.935293) | Plant Parasites of Europe (https://bladmineerders.nl/) | Manual of North American Agromyzidae (Diptera, Schizophora), with revision of the fauna of the “Delmarva” states (https://doi.org/10.3897/zookeys.1051.64603) | A Taxonomic Survey of the Agromyzidae (Diptera) of Alberta, Canada, with Observations on Host-Plant Relationships | Is oviposition and larval damage by the leaf-mining fly Calycomyza eupatorivora (Agromyzidae) on its target weed, Chromolaena odorata (Asteraceae), restricted by leaf-quality preferences? (https://doi.org/10.1080/09583157.2014.889658) | Manual of Nearctic Diptera | The Diptera families of British Columbia"
4,Diptera,Agromyzidae,,Cerodontha,capitata,Cerodontha capitata,Terrestrial,adultDiet,Leaf/Root/Stem Feeding,Species,Family,Species,Larvae feed inside stems,MaterialCitation,4,"Plant Parasites of Europe (https://bladmineerders.nl/) | A Taxonomic Survey of the Agromyzidae (Diptera) of Alberta, Canada, with Observations on Host-Plant Relationships | Manual of Nearctic Diptera | The Diptera families of British Columbia"
5,Diptera,Agromyzidae,,Cerodontha,dorsalis,Cerodontha dorsalis,Terrestrial,adultDiet,Leaf/Root/Stem Feeding,Species,Family,Species,Feeds on leaf sheaths of grasses,MaterialCitation,3,"A Taxonomic Survey of the Agromyzidae (Diptera) of Alberta, Canada, with Observations on Host-Plant Relationships | Manual of Nearctic Diptera |The Diptera families of British Columbia"
6,Diptera,Agromyzidae,,Cerodontha,fasciata,Cerodontha fasciata,Terrestrial,adultDiet,Leaf/Root/Stem Feeding,Species,Family,Species,,MaterialCitation,3,Plant Parasites of Europe (https://bladmineerders.nl/) | Manual of Nearctic Diptera | The Diptera families of British Columbia
7,Diptera,Agromyzidae,,Cerodontha,lindrothi,Cerodontha lindrothi,Terrestrial,adultDiet,Leaf/Root/Stem Feeding,Species,Family,Species,,MaterialCitation,3,Plant Parasites of Europe (https://bladmineerders.nl/) | Manual of Nearctic Diptera | The Diptera families of British Columbia
8,Diptera,Agromyzidae,,Cerodontha,muscina,Cerodontha muscina,Terrestrial,adultDiet,Leaf/Root/Stem Feeding,Species,Family,Species,Leaf mining,MaterialCitation,4,"Plant Parasites of Europe (https://bladmineerders.nl/) | New records of Agromyzidae (Diptera) from Portugal, with an updated checklist (https://doi.org/10.2478/cszma-2018-0002) | Manual of Nearctic Diptera | The Diptera families of British Columbia"
9,Diptera,Agromyzidae,,Chromatomyia,erigerontophaga,Chromatomyia erigerontophaga,Terrestrial,adultDiet,Leaf/Root/Stem Feeding,Genus,Genus,Genus,Leaf mining. Some species feed on weeds and honeysuckles,MaterialCitation,6,"Plant Parasites of Europe (https://bladmineerders.nl/) | New records of Agromyzidae (Diptera) from Portugal, with an updated checklist (https://doi.org/10.2478/cszma-2018-0002) | The Diptera families of British Columbia | Effects of elevated CO2 on the chrysanthemum leaf-miner, Chromatomyia syngenesiae: a greenhouse study (https://doi.org/10.1046/j.1365-2486.1998.00149.x) | First rearing record and DNA sequence of Chromatomyia aizoon (Hering, 1932) (Diptera: Agromyzidae) associated with Saxifraga paniculata Miller from the Czech Republic (https://doi.org/10.2478/cszma-2020-0021) | Plant hosts and parasitoid associations of leaf mining flies (Diptera: Agromyzidae) in the Canberra region of Australia (https://doi.org/10.1111/j.1440-6055.2007.00622.x)"
10,Diptera,Agromyzidae,,Chromatomyia,fuscula,Chromatomyia fuscula,Terrestrial,adultDiet,Leaf/Root/Stem Feeding,Species,Genus,Species,,MaterialCitation,6,"Plant Parasites of Europe (https://bladmineerders.nl/) | New records of Agromyzidae (Diptera) from Portugal, with an updated checklist (https://doi.org/10.2478/cszma-2018-0002) | The Diptera families of British Columbia | Effects of elevated CO2 on the chrysanthemum leaf-miner, Chromatomyia syngenesiae: a greenhouse study (https://doi.org/10.1046/j.1365-2486.1998.00149.x) | First rearing record and DNA sequence of Chromatomyia aizoon (Hering, 1932) (Diptera: Agromyzidae) associated with Saxifraga paniculata Miller from the Czech Republic (https://doi.org/10.2478/cszma-2020-0021) | Plant hosts and parasitoid associations of leaf mining flies (Diptera: Agromyzidae) in the Canberra region of Australia (https://doi.org/10.1111/j.1440-6055.2007.00622.x)"
11,Diptera,Agromyzidae,,Chromatomyia,opacella,Chromatomyia opacella,Terrestrial,adultDiet,Leaf/Root/Stem Feeding,Species,Genus,Species,,MaterialCitation,6,"Plant Parasites of Europe (https://bladmineerders.nl/) | New records of Agromyzidae (Diptera) from Portugal, with an updated checklist (https://doi.org/10.2478/cszma-2018-0002) | The Diptera families of British Columbia | Effects of elevated CO2 on the chrysanthemum leaf-miner, Chromatomyia syngenesiae: a greenhouse study (https://doi.org/10.1046/j.1365-2486.1998.00149.x) | First rearing record and DNA sequence of Chromatomyia aizoon (Hering, 1932) (Diptera: Agromyzidae) associated with Saxifraga paniculata Miller from the Czech Republic (https://doi.org/10.2478/cszma-2020-0021) | Plant hosts and parasitoid associations of leaf mining flies (Diptera: Agromyzidae) in the Canberra region of Australia (https://doi.org/10.1111/j.1440-6055.2007.00622.x)"
12,Diptera,Agromyzidae,,Chromatomyia,puccinelliae,Chromatomyia puccinelliae,Terrestrial,adultDiet,Leaf/Root/Stem Feeding,Genus,Genus,Genus,Leaf mining. Some species feed on weeds and honeysuckles,MaterialCitation,6,"Plant Parasites of Europe (https://bladmineerders.nl/) | New records of Agromyzidae (Diptera) from Portugal, with an updated checklist (https://doi.org/10.2478/cszma-2018-0002) | The Diptera families of British Columbia | Effects of elevated CO2 on the chrysanthemum leaf-miner, Chromatomyia syngenesiae: a greenhouse study (https://doi.org/10.1046/j.1365-2486.1998.00149.x) | First rearing record and DNA sequence of Chromatomyia aizoon (Hering, 1932) (Diptera: Agromyzidae) associated with Saxifraga paniculata Miller from the Czech Republic (https://doi.org/10.2478/cszma-2020-0021) | Plant hosts and parasitoid associations of leaf mining flies (Diptera: Agromyzidae) in the Canberra region of Australia (https://doi.org/10.1111/j.1440-6055.2007.00622.x)"
13,Diptera,Agromyzidae,,Liriomyza,baptisiae,Liriomyza baptisiae,Terrestrial,adultDiet,Leaf/Root/Stem Feeding,Species,Genus,Species,Feeds on leaves of various hosts,MaterialCitation,10,"A Taxonomic Survey of the Agromyzidae (Diptera) of Alberta, Canada, with Observations on Host-Plant Relationships | The Diptera families of British Columbia | The Liriomyza (Agromyzidae: Schizophora: Diptera) of California (https://doi.org/10.11646/zootaxa.2850.1.1) | Manual of Nearctic Diptera | Plant Parasites of Europe (https://bladmineerders.nl/) | Manual of North American Agromyzidae (Diptera, Schizophora), with revision of the fauna of the “Delmarva” states (https://doi.org/10.3897/zookeys.1051.64603 ) | New records of Agromyzidae (Diptera) from Portugal, with an updated checklist (https://doi.org/10.2478/cszma-2018-0002) | Biology of a leaf miner Liriomyza brassicae (Riley) (Diptera: Agromyzidae) (https://doi.org/10.1080/00222937400770101) | Oviposition Preference and Larval Performance of Liriomyza helianthi (Diptera: Agromyzidae) on Normal and Novel Host Plants (https://doi.org/10.1093/ee/27.4.926) | Seasonal incidence of the leaf miner Liriomyza cicerina Rond (Diptera: Agromyzidae) in chickpea fields and effects of climatic parameters, chickpea variety, and planting date on the leaf miner infestation rate (https://doi.org/10.1007/s41207-020-00198-4 ) |"
14,Diptera,Agromyzidae,,Liriomyza,brassicae,Liriomyza brassicae,Terrestrial,adultDiet,Leaf/Root/Stem Feeding,Species,Species,Species,Feeds on leaves,MaterialCitation,3,Plant Parasites of Europe (https://bladmineerders.nl/) | The Liriomyza (Agromyzidae: Schizophora: Diptera) of California (https://doi.org/10.11646/zootaxa.2850.1.1) | Biology of a leaf miner Liriomyza brassicae (Riley) (Diptera: Agromyzidae) (https://doi.org/10.1080/00222937400770101)
15,Diptera,Agromyzidae,,Liriomyza,fricki,Liriomyza fricki,Terrestrial,adultDiet,Leaf/Root/Stem Feeding,Species,Genus,Species,Feeds on leaves of various hosts,MaterialCitation,10,"A Taxonomic Survey of the Agromyzidae (Diptera) of Alberta, Canada, with Observations on Host-Plant Relationships | The Diptera families of British Columbia | The Liriomyza (Agromyzidae: Schizophora: Diptera) of California (https://doi.org/10.11646/zootaxa.2850.1.1) | Manual of Nearctic Diptera | Plant Parasites of Europe (https://bladmineerders.nl/) | Manual of North American Agromyzidae (Diptera, Schizophora), with revision of the fauna of the “Delmarva” states (https://doi.org/10.3897/zookeys.1051.64603 ) | New records of Agromyzidae (Diptera) from Portugal, with an updated checklist (https://doi.org/10.2478/cszma-2018-0002) | Biology of a leaf miner Liriomyza brassicae (Riley) (Diptera: Agromyzidae) (https://doi.org/10.1080/00222937400770101) | Oviposition Preference and Larval Performance of Liriomyza helianthi (Diptera: Agromyzidae) on Normal and Novel Host Plants (https://doi.org/10.1093/ee/27.4.926) | Seasonal incidence of the leaf miner Liriomyza cicerina Rond (Diptera: Agromyzidae) in chickpea fields and effects of climatic parameters, chickpea variety, and planting date on the leaf miner infestation rate (https://doi.org/10.1007/s41207-020-00198-4 ) |"
16,Diptera,Agromyzidae,,Liriomyza,helianthi,Liriomyza helianthi,Terrestrial,adultDiet,Leaf/Root/Stem Feeding,Species,Genus,Species,Feeds on leaves of various hosts,MaterialCitation,10,"A Taxonomic Survey of the Agromyzidae (Diptera) of Alberta, Canada, with Observations on Host-Plant Relationships | The Diptera families of British Columbia | The Liriomyza (Agromyzidae: Schizophora: Diptera) of California (https://doi.org/10.11646/zootaxa.2850.1.1) | Manual of Nearctic Diptera | Plant Parasites of Europe (https://bladmineerders.nl/) | Manual of North American Agromyzidae (Diptera, Schizophora), with revision of the fauna of the “Delmarva” states (https://doi.org/10.3897/zookeys.1051.64603 ) | New records of Agromyzidae (Diptera) from Portugal, with an updated checklist (https://doi.org/10.2478/cszma-2018-0002) | Biology of a leaf miner Liriomyza brassicae (Riley) (Diptera: Agromyzidae) (https://doi.org/10.1080/00222937400770101) | Oviposition Preference and Larval Performance of Liriomyza helianthi (Diptera: Agromyzidae) on Normal and Novel Host Plants (https://doi.org/10.1093/ee/27.4.926) | Seasonal incidence of the leaf miner Liriomyza cicerina Rond (Diptera: Agromyzidae) in chickpea fields and effects of climatic parameters, chickpea variety, and planting date on the leaf miner infestation rate (https://doi.org/10.1007/s41207-020-00198-4 ) |"
17,Diptera,Agromyzidae,,Ophiomyia,quinta,Ophiomyia quinta,Terrestrial,adultDiet,Leaf/Root/Stem Feeding,Genus,Family,Genus,Some Ophiomyia feed on stems and others feed on leaves. Some are serious pests of soy beans. Mine leaves of plants such as dandelion and sow-thistle.,MaterialCitation,13,"Complex feeding tracks of the sessile herbivorous insect Ophiomyia maura as a function of the defense against insect parasitoids (https://doi.org/10.1371/journal.pone.0032594) | Manual of Nearctic Diptera | Plant Parasites of Europe (https://bladmineerders.nl/) | Manual of North American Agromyzidae (Diptera, Schizophora), with revision of the fauna of the “Delmarva” states (https://doi.org/10.3897/zookeys.1051.64603) | New records of Agromyzidae (Diptera) from Portugal, with an updated checklist (https://doi.org/10.2478/cszma-2018-0002) | A Taxonomic Survey of the Agromyzidae (Diptera) of Alberta, Canada, with Observations on Host-Plant Relationships | The Diptera families of British Columbia | Biology of Ophiomyia centrosematis (Diptera: Agromyzidae), a pest of soybean (https://doi.org/10.1093/aesa/81.6.938) | Biology and host range of Ophiomyia camarae Spencer (Diptera: Agromyzidae), a potential biocontrol agent for Lantana spp. (Verbenaceae) in Australia (https://doi.org/10.1080/09583150902968980) | Biology and host range of Ophiomyia camarae, a biological control agent for Lantana camara in South Africa (https://doi.org/10.1023/A:1016541809545) | Ophiomyia kwansonis Sasakawa (Diptera: Agromyzidae), the Daylily Leafminer, an Asian Species Recently Identified in the Continental United States (https://doi.org/10.4289/0013-8797.116.4.421) | Specific Mining Pattern as a Result of Selective Feeding Within a Leaf by the Dipteran Leafminer Ophiomyia maura (Diptera: Agromyzidae) (https://doi.org/10.1603/AN10049) | Complex Feeding Tracks of the Sessile Herbivorous Insect Ophiomyia maura as a Function of the Defense against Insect Parasitoids (https://doi.org/10.1371/journal.pone.0032594)"
